Unique Investment Identifier,Business Case ID,Affected Investment ID,Agency Affected Investment ID,Affected Investment UII,To Be Status,Updated Date,Updated Time
"021-944539074","1223","153","093749968 ","021-093749968","to be eliminated","09/14/2012","10:04:24"
"202-000004416","1259","195","Commercial satellite contracts","000-000000000","to be eliminated","09/14/2012","23:56:03"
"202-000004416","1259","193","Individual SIPRNet accreditations and circuits","000-000000000","to be reduced","09/14/2012","23:56:03"
"202-000004416","1259","191","VTC ISDN circuits","000-000000000","to be reduced","09/14/2012","23:56:03"
"018-000000076","1267","247","","018-000008003","to be eliminated","03/21/2013","13:41:43"
"018-000000076","1267","251","","018-000002620","to be eliminated","03/21/2013","13:41:43"
"018-000000076","1267","249","","018-000000059","to be eliminated","03/21/2013","13:41:43"
"018-000000076","1267","253","","018-000002690","to be eliminated","03/21/2013","13:41:43"
"015-000000432","1269","259","29","015-000014197","to be eliminated","03/22/2013","12:58:54"
"024-000007128","1279","283","197016","024-000007127","to be reduced","03/29/2013","11:07:01"
