Unique Investment Identifier,Business Case Id,Agency Code,Agency Name,Investment Title,Planning Budgetary Resources PY1 and Prior,Planning Budgetary Resources PY,Planning Budgetary Resources CY,Planning Budgetary Resources BY,DME Budgetary Resources PY1 and Prior,DME Budgetary Resources PY,DME Budgetary Resources CY,DME Budgetary Resources BY,DME Government FTE Costs PY1 and Prior,DME Government FTE Costs PY,DME Government FTE Costs CY,DME Government FTE Costs BY,Omd Budgetary Resources PY1 and Prior,Omd Budgetary Resources PY,Omd Budgetary Resources CY,Omd Budgetary Resources BY,Omd Government FTE Costs PY1 and Prior,Omd Government FTE Costs PY,Omd Government FTE Costs CY,Omd Government FTE Costs BY,Government FTE Number PY1 and Prior,Government FTE Number PY,Government FTE Number CY,Government FTE Number BY,Prior Year Cost Change PY,Prior Year Cost Change CY,Prior Year Cost Percentage Change PY,Prior Year Cost Percentage Change CY
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","2.900000","0.000000","0.000000","0.000000","30.380000","0.000000","0.000000","0.000000","4.690000","0.000000","0.000000","0.000000","272.460000","27.933000","27.215000","27.193000","163.160000","13.605000","13.605000","13.430000","1402.00","144.00","144.00","144.00","0.000000","-0.000447","0.000000","0.000000"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","0.000000","0.000000","0.000000","0.000000","38.766000","7.984000","0.000000","2.048000","25.042000","1.506000","1.266000","1.406000","54.428000","10.510000","10.282000","5.302000","28.148000","3.638000","2.789000","2.314000","82.00","41.00","32.00","29.75","8.211000","-0.001000","53.224865","-0.006974"
"005-000001870","225","005","Department of Agriculture","Farm Program Modernization (MIDAS) #097","32.781000","0.000000","0.000000","0.000000","332.378000","4.440000","0.000000","0.000000","14.981000","0.000000","0.000000","0.000000","38.157000","58.260000","50.263000","47.628000","0.000000","0.000000","0.145000","1.001000","75.00","0.00","0.00","4.00","-2.300000","0.000000","-3.538462","0.000000"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","0.000000","0.000000","0.000000","0.000000","130.268000","0.000000","0.000000","0.000000","17.281000","0.000000","0.000000","0.000000","115.171000","38.142000","40.540000","42.409000","27.611000","16.010000","15.411000","16.704000","363.00","133.00","138.00","138.00","0.000000","1.000000","0.000000","1.800000"
"005-000001718","228","005","Department of Agriculture","FNCS IT Infrastructure","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","34.956063","20.825309","14.377951","14.641979","12.330676","5.045469","5.439274","5.602454","500.00","44.00","44.00","44.00","7.224332","0.000000","38.700000","0.000000"
"005-000000083","230","005","Department of Agriculture","FSIS Public Health Data Communications Infrastructure System (PHDCIS)","0.450000","0.000000","0.000000","0.000000","5.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","253.664632","47.974301","49.612774","52.927149","37.196848","5.756000","5.929000","6.106000","293.00","51.00","51.00","51.00","53.730301","55.541774","0.000000","0.000000"
"005-000002148","231","005","Department of Agriculture","FSIS Public Health Information System (PHIS)","0.000000","0.000000","0.000000","0.000000","52.164000","5.700000","9.800000","6.541000","1.210000","0.233000","0.310000","0.559000","54.163000","1.018000","1.769000","2.186000","17.410000","1.551000","2.016000","2.076000","30.00","11.50","15.00","16.50","0.529000","5.683000","6.634893","69.203604"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","13.560000","0.000000","0.000000","0.000000","233.820000","0.000000","0.000000","0.000000","13.560000","0.000000","0.000000","0.000000","145.189184","12.293642","12.366872","12.019990","29.314925","1.418935","1.747129","2.094011","208.00","11.00","13.00","13.00","0.000000","0.000000","0.000000","0.000000"
"005-000001659","239","005","Department of Agriculture","Animal Disease Traceability Information System (ADTIS)","0.000000","0.000000","0.000000","0.000000","22.720000","0.000000","1.000000","0.400000","1.906000","0.000000","0.000000","0.000000","15.140541","0.271974","0.267420","0.288915","4.702524","0.180508","0.195508","0.163567","39.00","4.00","4.00","4.00","-0.027000","-0.740730","-5.600000","-33.600000"
"005-000002321","243","005","Department of Agriculture","Optimized Computing Environment (OCE)","1.921000","0.000000","0.000000","0.000000","51.111000","28.887000","28.937000","28.937000","0.660000","0.000000","0.000000","0.000000","3.645000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.00","0.00","0.00","0.00","17.350000","17.400000","150.400000","150.800000"
