Unique Investment Identifier,Business Case ID,Affected Investment ID,Agency Affected Investment ID,Affected Investment UII,To Be Status,Updated Date,Updated Time
"007-000000155","14","917","1046","007-000009990","to be eliminated","10/01/2014","10:49:51"
"007-000000178","15","569","235","007-000005037","to be reduced","02/03/2015","15:11:49"
"007-000000178","15","567","233","007-000006484","to be eliminated","12/09/2013","12:01:51"
"007-000000186","16","623","127","007-000006980","to be reduced","12/09/2013","12:01:57"
"007-000000186","16","613","134","007-000007152","to be reduced","12/09/2013","12:01:56"
"007-000000186","16","603","124","007-000006551","to be reduced","12/09/2013","12:01:56"
"007-000000186","16","593","118","007-000001995","to be reduced","12/09/2013","12:01:56"
"007-000000186","16","583","113","007-000001265","to be reduced","12/09/2013","12:01:56"
"007-000000186","16","573","100","007-000000150","to be reduced","12/09/2013","12:01:56"
"007-000000186","16","627","129","007-000007106","to be reduced","12/09/2013","12:01:57"
"007-000000186","16","617","122","007-000003421","to be reduced","12/09/2013","12:01:56"
"007-000000186","16","607","131","007-000007132","to be reduced","12/09/2013","12:01:56"
"007-000000186","16","597","120","007-000003470","to be reduced","12/09/2013","12:01:56"
"007-000000186","16","587","115","007-000001726","to be reduced","12/09/2013","12:01:56"
"007-000000186","16","577","110","007-000001335","to be reduced","12/09/2013","12:01:56"
"007-000000186","16","621","126","007-000006801","to be reduced","12/09/2013","12:01:57"
"007-000000186","16","611","133","007-000007150","to be reduced","12/09/2013","12:01:56"
"007-000000186","16","601","99","007-000000158","to be reduced","12/09/2013","12:01:56"
"007-000000186","16","591","117","007-000001993","to be reduced","12/09/2013","12:01:56"
"007-000000186","16","581","112","007-000001514","to be reduced","12/09/2013","12:01:56"
"007-000000186","16","571","109","007-000001282","to be reduced","12/09/2013","12:01:56"
"007-000000186","16","625","128","007-000006898","to be reduced","12/09/2013","12:01:57"
"007-000000186","16","615","121","007-000003475","to be reduced","12/09/2013","12:01:56"
"007-000000186","16","605","130","007-000007120","to be reduced","12/09/2013","12:01:56"
"007-000000186","16","595","119","007-000002056","to be reduced","12/09/2013","12:01:56"
"007-000000186","16","585","114","007-000001541","to be reduced","12/09/2013","12:01:56"
"007-000000186","16","575","101","007-000001279","to be reduced","12/09/2013","12:01:56"
"007-000000186","16","619","125","007-000006804","to be reduced","12/09/2013","12:01:57"
"007-000000186","16","609","132","007-000007145","to be reduced","12/09/2013","12:01:56"
"007-000000186","16","599","123","007-000006436","to be reduced","12/09/2013","12:01:56"
"007-000000186","16","589","116","007-000001727","to be reduced","12/09/2013","12:01:56"
"007-000000186","16","579","111","007-000001509","to be reduced","12/09/2013","12:01:56"
"007-000000314","19","633","416","007-000004565","to be eliminated","12/09/2013","12:02:11"
"007-000000314","19","637","369","007-000001792","to be reduced","12/09/2013","12:02:11"
"007-000000314","19","919","1026","007-000009990","to be eliminated","10/01/2014","10:50:00"
"007-000000314","19","631","366","007-000001782","to be reduced","12/09/2013","12:02:11"
"007-000000314","19","923","1029","007-000003737","to be eliminated","10/01/2014","10:50:00"
"007-000000314","19","635","417","007-000004546","to be eliminated","12/09/2013","12:02:11"
"007-000000314","19","629","364","007-000001781","to be reduced","12/09/2013","12:02:11"
"007-000000314","19","921","1027","007-000004556","to be eliminated","10/01/2014","10:50:00"
"007-000000594","26","639","432","007-000006321","to be eliminated","12/09/2013","12:20:04"
"026-000005020","39","893","","026-000005010","to be eliminated","09/11/2014","21:17:24"
"007-000005070","59","679","565","007-000004490","to be eliminated","12/09/2013","13:51:50"
"007-000005070","59","677","563","007-000004510","to be eliminated","12/09/2013","13:51:50"
"007-000005070","59","681","566","007-000004507","to be eliminated","12/09/2013","13:51:50"
"007-000005070","59","675","558","007-000004509","to be eliminated","12/09/2013","13:51:50"
"007-000006170","65","683","882","007-000006170","to be reduced","12/09/2013","13:52:08"
"007-000006946","83","809","926","007-000004968","to be reduced","03/18/2014","12:05:32"
"012-000002085","123","891","","012-000003405","to be eliminated","09/11/2014","17:47:38"
"012-000002630","131","333","","012-000003345","to be reduced","09/12/2014","11:53:48"
"024-000005397","141","353","210376","024-000005545","to be eliminated","09/10/2013","10:56:47"
"024-000005664","173","77","187803","024-000005628","to be eliminated","09/13/2012","07:19:38"
"024-000005664","173","361","213148","024-000005626","to be eliminated","09/10/2013","10:57:02"
"024-000005664","173","355","213149","024-000005633","to be reduced","09/10/2013","10:57:02"
"024-000005664","173","359","213150","024-000005670","to be reduced","09/10/2013","10:57:02"
"024-000005664","173","363","213151","024-000005645","to be eliminated","09/10/2013","10:57:02"
"024-000005664","173","357","213152","024-000005625","to be eliminated","09/10/2013","10:57:02"
"024-000005666","174","341","215044","024-000005651","to be eliminated","09/10/2013","10:49:42"
"024-000005666","174","339","213224","024-000005606","to be eliminated","09/10/2013","10:49:42"
"024-000006010","200","351","211343","009-000186427","to be eliminated","09/10/2013","10:50:02"
"024-000006010","200","841","230386","024-000006345","to be eliminated","09/09/2014","08:22:21"
"024-000006010","200","345","211345","024-000006095","to be reduced","09/10/2013","10:50:02"
"024-000006010","200","349","211344","009-000005939","to be eliminated","09/10/2013","10:50:02"
"024-000006010","200","343","211341","024-000006342","to be eliminated","09/10/2013","10:50:02"
"024-000006010","200","347","211342","024-000006351","to be eliminated","09/10/2013","10:50:02"
"024-000006115","203","79","187778","024-000006006","to be reduced","09/13/2012","07:22:31"
