Unique Investment Identifier,Business Case Id,Agency Code,Agency Name,Investment Title,Planning Budgetary Resources PY1 and Prior,Planning Budgetary Resources PY,Planning Budgetary Resources CY,Planning Budgetary Resources BY,DME Budgetary Resources PY1 and Prior,DME Budgetary Resources PY,DME Budgetary Resources CY,DME Budgetary Resources BY,DME Government FTE Costs PY1 and Prior,DME Government FTE Costs PY,DME Government FTE Costs CY,DME Government FTE Costs BY,Omd Budgetary Resources PY1 and Prior,Omd Budgetary Resources PY,Omd Budgetary Resources CY,Omd Budgetary Resources BY,Omd Government FTE Costs PY1 and Prior,Omd Government FTE Costs PY,Omd Government FTE Costs CY,Omd Government FTE Costs BY,Government FTE Number PY1 and Prior,Government FTE Number PY,Government FTE Number CY,Government FTE Number BY,Prior Year Cost Change PY,Prior Year Cost Change CY,Prior Year Cost Percentage Change PY,Prior Year Cost Percentage Change CY
"009-000004258","293","009","Department of Health and Human Services","CMS Plan Enrollment (HPMS)","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","42.869000","18.801000","18.036000","18.036000","3.573000","1.338000","1.365000","1.390000","36.00","13.00","13.00","13.00","-4.131000","-4.385000","-17.021000","-18.435000"
"009-000002476","296","009","Department of Health and Human Services","CMS Retiree Drug Subsidy","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","48.405000","9.151000","9.764000","9.194000","0.740000","0.770000","0.793000","0.817000","16.00","5.00","5.00","5.00","0.000000","0.563000","0.000000","5.633000"
"009-000005345","298","009","Department of Health and Human Services","FDA CDER Automated Drug Information Management System","2.863000","0.000000","0.000000","0.000000","18.119000","5.984000","9.685000","8.824000","0.000000","0.521000","0.521000","0.521000","9.351000","9.965000","11.098000","10.560000","3.167000","0.521000","0.390000","0.390000","24.00","8.00","7.00","7.00","-1.770000","0.893000","-9.434000","4.293000"
"009-000005318","299","009","Department of Health and Human Services","FDA ORA Automated Laboratory Management","0.600000","0.500000","0.500000","0.200000","16.544000","12.905000","11.730000","11.980000","0.709000","0.325000","0.325000","0.335000","14.291000","2.366000","3.219000","3.327000","0.634000","0.130000","0.130000","0.134000","11.00","4.00","4.00","4.00","2.136000","-0.068000","15.160000","-0.426000"
"009-000005354","301","009","Department of Health and Human Services","FDA OC-OIM Information and Computing Technologies for the 21st Century (ICT21)","31.613000","0.450000","0.500000","1.500000","131.216000","6.519000","8.778000","7.557000","8.000000","0.390000","0.390000","0.599000","19.803000","58.915000","58.512000","0.229000","1.000000","1.565000","0.130000","0.133000","44.00","15.00","4.00","6.00","-1.155000","-3.908000","-1.674000","-5.411000"
"009-000005315","302","009","Department of Health and Human Services","FDA CDER MedWatch Plus","4.761000","0.568000","0.660000","0.165000","40.064000","7.789000","1.650000","1.689000","2.998000","2.370000","0.651000","0.716000","3.985000","3.737000","1.740000","2.530000","0.488000","0.125000","0.260000","0.560000","34.00","10.00","7.00","11.00","2.851000","-3.320000","24.289000","-40.092000"
"009-000005317","310","009","Department of Health and Human Services","FDA ORA Mission Accomplishments and Regulatory Compliance Services","6.886000","0.650000","0.500000","0.200000","73.462000","29.655000","18.900000","10.687000","5.105000","0.781000","0.781000","0.804000","32.304000","5.848000","9.232000","6.357000","1.762000","0.260000","0.260000","0.402000","8.00","8.00","8.00","9.00","6.444000","0.553000","20.956000","1.899000"
"009-000006267","317","009","Department of Health and Human Services","FDA OC-OIM Operational Infrastructure","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","243.955000","116.879000","120.928000","166.174000","112.750000","37.859000","37.859000","38.805000","627.00","289.00","289.00","289.00","-0.628000","-0.628000","-0.404000","-0.394000"
"009-000005316","318","009","Department of Health and Human Services","FDA ORA Regulatory Business Information Services","4.530000","0.000000","0.000000","0.000000","28.664000","5.338000","6.016000","7.234000","1.209000","0.195000","0.195000","0.201000","13.370000","3.205000","4.313000","4.477000","1.201000","0.195000","0.195000","0.201000","4.00","3.00","3.00","3.00","-0.663000","0.308000","-6.909000","2.958000"
"009-000005323","322","009","Department of Health and Human Services","FDA OC User Fee and Financial Reporting Systems","0.436000","0.800000","0.800000","0.800000","72.368000","1.477000","1.390000","1.390000","0.308000","0.106000","0.106000","0.106000","33.698000","7.721000","6.101000","6.177000","1.478000","0.317000","0.317000","0.317000","15.00","3.00","3.00","3.00","1.259000","-0.219000","13.742000","-2.452000"
"009-999991400","330","009","Department of Health and Human Services","Federal Health Architecture","7.890000","1.380000","1.400000","1.400000","26.077000","6.130000","6.110000","6.110000","0.200000","0.200000","0.200000","0.200000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1.00","1.00","1.00","1.00","-0.440000","-0.890000","-5.399000","-10.349000"
"009-999990160","331","009","Department of Health and Human Services","Grants.gov - Find and Apply","0.400000","0.000000","0.000000","0.000000","9.192000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","31.447000","11.299000","11.265000","14.090000","2.763000","1.683000","1.717000","1.751000","27.00","10.00","10.00","10.00","0.000000","0.000000","0.000000","0.000000"
"009-000001397","332","009","Department of Health and Human Services","HHS Unified Financial Management System: Modernization Program","34.316000","0.377000","0.502000","0.300000","186.030000","8.000000","5.500000","23.425000","0.990000","0.000000","0.000000","0.000000","141.200000","26.764000","27.703000","28.689000","0.660000","0.660000","3.407000","0.000000","228.00","24.00","24.00","0.00","-3.301000","-6.350000","-8.442000","-14.610000"
"009-000000706","333","009","Department of Health and Human Services","HRSA - OIT Electronic Handbooks (EHBs)","4.957000","0.150000","0.150000","0.150000","62.173000","13.155000","8.916000","2.203000","4.914000","0.750000","0.670000","0.300000","38.979000","9.116000","7.735000","7.406000","3.074000","0.523000","0.623000","1.012000","42.00","8.00","8.00","8.00","-5.951000","-7.570000","-20.074000","-29.497000"
