"Agency Code","Agency Name","Public Cloud PY","Public Cloud CY","Public Cloud BY","Private Cloud PY","Private Cloud CY","Private Cloud BY","Community Cloud PY","Community Cloud CY","Community Cloud BY","Hybrid Cloud PY","Hybrid Cloud CY","Hybrid Cloud BY","Deployment Model Other Service PY","Deployment Model Other Service CY","Deployment Model Other Service BY","SaaS PY","SaaS CY","SaaS BY","PaaS PY","PaaS CY","PaaS BY","IaaS PY","IaaS CY","IaaS BY","Service Model Other Service PY","Service Model Other Service CY","Service Model Other Service BY","XML Request ID","Updated Date","Updated Time"
"	024","Department of Homeland Security",29.786,31.863,24.946,183.085,159.675,159.393,5.066,6.236,6.508,24.815,32.465,34.665,908.997,942.136,945.307,42.458,50.012,53.135,18.535,19.261,19.246,180.589,159.796,152.859,910.167,943.306,945.579,253076,2016-01-13,20:09:55
"	025","Department of Housing and Urban Development",8.793315,8.637314,0,132.864115,16.519,15.569,0,0,0,0,0,0,0,0,0,9.8719,19.906314,10.319,0,0,0,131.78553,5.25,5.25,0,0,0,255081,2016-01-15,19:56:56
"	026","National Aeronautics and Space Administration",13.85404,12.543,11.527,10.784925,10.063435,7.758348,0,0,0,0.2969,0.263,0.233,111.746081,110.431081,108.160717,0.99304,1.436,1.434,8.929,7.01,6.77,15.013825,14.423435,11.314348,111.746081,110.431081,108.160717,253070,2016-01-13,19:25:55
"	027","Office of Personnel Management",0.186,0.186,0,9.128,8.948,4.006,0,0,0,0.8,0.8,0,237.338394,237.215247,238.475961,0.986,0.986,0,2.287,2.145,1.986,6.841,6.803,2.02,237.338394,237.215247,238.475961,254453,2016-01-14,22:56:41
"	028","Small Business Administration",0.282,0.633,0.633,0,0,0,4.042291,4.103216,0.250216,0,0,0,11.68692,12.304,16.74,4.324291,4.736216,0.883216,0,0,0,0,0,0,11.68692,12.304,16.74,251774,2016-01-07,22:57:14
"	029","Department of Veterans Affairs",0,0,0,27.325487,27.403755,5.411443,0.5,0.51,0,1.73,0,0,0.1555,0.17861,0,3.13,1.68,0,0.5,0.51,0,25.925487,25.723755,5.411443,0.1555,0.17861,0,253698,2016-01-14,18:08:15
"	184","U.S. Agency for International Development",14.391,20.325,13.053,1.378,1.543,2.182,0,0,0,0,0,0,0,0,0,1.378,1.543,2.182,0,0,0,14.391,20.325,13.053,0,0,0,251811,2016-01-11,21:43:59
"	202","U.S. Army Corps of Engineers",0.25,0.25,0.25,1.856,1.544,2.15,0,0,0,0,0,0,0,0,0,1.856,1.544,2.15,0,0,0,0.25,0.25,0.25,0,0,0,251499,2016-01-06,20:08:12
"	393","National Archives and Records Administration",0,0,0,7.514,6.517,7.647,4.4565,4.664,4.66,1.127,1.3,1.322,3.2885,3.515,3.573,10.2415,8.571,9.685,0.692,0.877,0.881,2.164,3.033,3.063,3.2885,3.515,3.573,251458,2016-01-06,19:26:13
"	422","National Science Foundation",0.399,1.36,0.375,9.452,5.718,7.769,2.905,3.604,3.226,0,0,0,2.407,2.479,2.024,12.163,9.218,10.898,0.071,0.018,0.018,0.522,1.446,0.454,2.407,2.479,2.024,251190,2016-01-05,17:38:59
"	429","Nuclear Regulatory Commission",0,0.3,0.3,11.3025,12.6315,12.99,0.976,0,0,0.362,0.551,0.519,5.7535,6.10925,5.885,12.2785,12.9315,13.29,0.362,0.551,0.519,0,0,0,5.7535,6.10925,5.885,251769,2016-01-07,22:49:54
