"Unique Investment Identifier","Business Case ID","Affected Investment ID","Agency Affected Investment ID","Affected Investment UII","To Be Status","Updated Date","Updated Time"
024-000005666,174,341,"	215044",024-000005651,"to be eliminated",02/08/2016,17:03:04
024-000006010,200,343,"	211341",024-000006342,"to be eliminated",02/08/2016,16:59:00
024-000006010,200,345,"	211345",024-000006095,"to be reduced",02/08/2016,16:59:00
024-000006010,200,347,"	211342",024-000006351,"to be eliminated",02/08/2016,16:59:00
024-000006010,200,349,"	211344",009-000005939,"to be eliminated",02/08/2016,16:59:00
024-000006010,200,351,"	211343",009-000186427,"to be eliminated",02/08/2016,16:59:00
024-000005397,141,353,"	210376",024-000005545,"to be eliminated",02/08/2016,17:03:19
024-000005664,173,355,"	213149",024-000005633,"to be reduced",02/08/2016,17:03:40
024-000005664,173,357,"	213152",024-000005625,"to be eliminated",02/08/2016,17:03:40
024-000005664,173,359,"	213150",024-000005670,"to be reduced",02/08/2016,17:03:40
024-000005664,173,361,"	213148",024-000005626,"to be eliminated",02/08/2016,17:03:40
024-000005664,173,363,"	213151",024-000005645,"to be eliminated",02/08/2016,17:03:40
011-000003372,429,365,,011-000002505,"to be eliminated",02/05/2015,07:58:37
005-000002317,832,371,,005-000001070,"to be eliminated",03/18/2014,16:30:00
005-000002317,832,373,,005-000001050,"to be eliminated",03/18/2014,16:30:00
005-000002317,832,375,,005-000002008,"to be eliminated",03/18/2014,16:30:00
005-000002317,832,377,,005-000000061,"to be eliminated",03/18/2014,16:30:00
005-000002317,832,379,,005-000001060,"to be eliminated",03/18/2014,16:30:00
005-000002317,832,381,,005-000000063,"to be eliminated",03/18/2014,16:30:00
005-000002317,832,383,,005-000001118,"to be eliminated",03/18/2014,16:30:00
005-000001231,219,385,,005-000001232,"to be eliminated",02/02/2016,17:14:21
018-000000092,1289,387,,018-000000046,"to be eliminated",02/04/2016,18:06:30
018-000000092,1289,389,,018-000002693,"to be eliminated",02/04/2016,18:06:30
018-000000092,1289,391,,018-000002692,"to be eliminated",02/04/2016,18:06:30
018-000000092,1289,393,,018-000000001,"to be eliminated",02/04/2016,18:06:30
018-000000092,1289,395,,018-000002697,"to be eliminated",02/04/2016,18:06:30
018-000000092,1289,397,,018-000002696,"to be eliminated",02/04/2016,18:06:30
018-000000092,1289,399,,018-000002180,"to be eliminated",02/04/2016,18:06:30
018-000000092,1289,401,,018-000002699,"to be eliminated",02/04/2016,18:06:30
018-000000092,1289,403,,018-000002170,"to be eliminated",02/04/2016,18:06:30
018-000001140,802,405,,018-000002111,"to be eliminated",02/04/2016,19:05:27
018-000001140,802,407,,018-000000007,"to be eliminated",02/04/2016,19:05:27
018-000001140,802,409,,018-000002260,"to be eliminated",02/04/2016,19:05:27
018-000000076,1267,411,,018-000002591,"to be eliminated",02/04/2016,16:24:04
018-000000076,1267,413,,018-000007993,"to be eliminated",02/04/2016,16:24:04
005-000001425,227,415,,005-000000062,"to be eliminated",02/02/2016,18:34:44
018-000000094,1299,417,,018-000002200,"to be eliminated",02/04/2016,18:22:11
018-000000094,1299,419,,018-000002280,"to be eliminated",02/04/2016,18:22:11
018-000000094,1299,421,,018-000002710,"to be eliminated",02/04/2016,18:22:11
005-000000063,249,423,,005-000000064,"to be eliminated",02/02/2016,18:43:58
005-000000063,249,425,,005-000000067,"to be eliminated",02/02/2016,18:43:58
018-000000093,1303,429,,018-000002590,"to be eliminated",02/04/2016,18:06:39
018-000000093,1303,431,,018-000000014,"to be eliminated",02/04/2016,18:06:39
018-000000093,1303,433,,018-000002630,"to be eliminated",02/04/2016,18:06:39
018-000000093,1303,435,,018-000000011,"to be eliminated",02/04/2016,18:06:39
018-000000091,1305,437,,018-000002570,"to be eliminated",02/04/2016,18:22:00
018-000000091,1305,439,,018-000002640,"to be eliminated",02/04/2016,18:22:00
021-000001000,1307,445,"	22941",021-000001001,"to be reduced",02/03/2016,19:14:48
018-999991341,811,447,,018-000003125,"to be eliminated",02/04/2016,16:23:49
023-000004270,1213,451,,023-000001290,"to be eliminated",02/02/2016,19:11:30
010-000000316,673,453,,010-000000477,"to be eliminated",02/04/2016,18:30:21
010-000000316,673,455,,010-000000479,"to be eliminated",02/04/2016,18:30:21
010-000000316,673,457,,010-000000722,"to be eliminated",02/04/2016,18:30:21
010-000000316,673,459,,010-000000766,"to be eliminated",02/04/2016,18:30:21
010-000000316,673,461,,010-000001046,"to be eliminated",02/04/2016,18:30:21
010-000000316,673,463,,010-000000009,"to be eliminated",02/04/2016,18:30:21
010-000000316,673,465,,010-000000416,"to be eliminated",02/04/2016,18:30:21
010-000000316,673,467,,010-000000552,"to be eliminated",02/04/2016,18:30:21
010-000000316,673,469,,010-000000286,"to be eliminated",02/04/2016,18:30:21
010-000000316,673,471,,010-000000064,"to be eliminated",02/04/2016,18:30:21
010-000000316,673,473,,010-000001477,"to be eliminated",02/04/2016,18:30:21
010-000000316,673,475,,010-000001478,"to be eliminated",02/04/2016,18:30:21
010-000000316,673,477,,010-000001479,"to be eliminated",02/04/2016,18:30:21
010-000000316,673,479,,010-000000078,"to be eliminated",02/04/2016,18:30:21
010-000000316,673,481,,010-000001475,"to be eliminated",02/04/2016,18:30:21
010-000000316,673,483,,010-000000079,"to be eliminated",02/04/2016,18:30:21
010-000000316,673,485,,010-000000411,"to be eliminated",02/04/2016,18:30:21
010-000000316,673,487,,010-000000503,"to be eliminated",02/04/2016,18:30:21
010-000000316,673,489,,010-000000997,"to be eliminated",02/04/2016,18:30:21
010-000000316,673,491,,010-000000504,"to be eliminated",02/04/2016,18:30:21
010-000000316,673,493,,010-000001474,"to be eliminated",02/04/2016,18:30:21
010-000000316,673,495,,010-000000281,"to be eliminated",02/04/2016,18:30:21
010-000000319,674,497,,010-000000455,"to be reduced",02/04/2016,18:30:50
012-000003615,1047,505,,012-000003160,"to be eliminated",03/13/2014,09:05:50
028-000000045,1349,513,,028-000001219,"to be eliminated",02/03/2016,17:49:44
028-000000045,1349,515,,028-000001225,"to be eliminated",02/03/2016,17:49:44
028-000000045,1349,517,,028-000001226,"to be eliminated",02/03/2016,17:49:44
006-000804100,1353,519,,006-000802600,"to be reduced",02/03/2016,19:23:20
006-000402200,1355,521,,006-000401400,"to be eliminated",02/02/2016,15:43:40
006-000310100,701,525,,006-000312400,"to be reduced",02/03/2016,17:58:13
006-000804300,1371,535,,006-000802600,"to be reduced",02/03/2016,19:23:28
020-000015010,402,563,,020-000015040,"to be eliminated",02/05/2016,14:23:10
007-000000186,16,571,"	109",007-000001282,"to be reduced",02/03/2015,15:12:02
007-000000186,16,573,"	100",007-000000150,"to be reduced",02/03/2015,15:12:02
007-000000186,16,575,"	101",007-000001279,"to be reduced",02/03/2015,15:12:02
007-000000186,16,577,"	110",007-000001335,"to be reduced",02/03/2015,15:12:02
007-000000186,16,579,"	111",007-000001509,"to be reduced",02/03/2015,15:12:02
007-000000186,16,581,"	112",007-000001514,"to be reduced",02/03/2015,15:12:02
007-000000186,16,583,"	113",007-000001265,"to be reduced",02/03/2015,15:12:02
007-000000186,16,585,"	114",007-000001541,"to be reduced",02/03/2015,15:12:02
007-000000186,16,587,"	115",007-000001726,"to be reduced",02/03/2015,15:12:02
007-000000186,16,589,"	116",007-000001727,"to be reduced",02/03/2015,15:12:02
007-000000186,16,591,"	117",007-000001993,"to be reduced",02/03/2015,15:12:02
007-000000186,16,593,"	118",007-000001995,"to be reduced",02/03/2015,15:12:02
007-000000186,16,595,"	119",007-000002056,"to be reduced",02/03/2015,15:12:02
007-000000186,16,597,"	120",007-000003470,"to be reduced",02/03/2015,15:12:02
007-000000186,16,599,"	123",007-000006436,"to be reduced",02/03/2015,15:12:02
007-000000186,16,601,"	99",007-000000158,"to be reduced",02/03/2015,15:12:02
007-000000186,16,603,"	124",007-000006551,"to be reduced",02/03/2015,15:12:02
007-000000186,16,605,"	130",007-000007120,"to be reduced",02/03/2015,15:12:02
007-000000186,16,607,"	131",007-000007132,"to be reduced",02/03/2015,15:12:02
007-000000186,16,609,"	132",007-000007145,"to be reduced",02/03/2015,15:12:02
007-000000186,16,611,"	133",007-000007150,"to be reduced",02/03/2015,15:12:02
007-000000186,16,613,"	134",007-000007152,"to be reduced",02/03/2015,15:12:02
007-000000186,16,615,"	121",007-000003475,"to be reduced",02/03/2015,15:12:02
007-000000186,16,617,"	122",007-000003421,"to be reduced",02/03/2015,15:12:02
007-000000186,16,619,"	125",007-000006804,"to be reduced",02/03/2015,15:12:02
007-000000186,16,621,"	126",007-000006801,"to be reduced",02/03/2015,15:12:02
007-000000186,16,623,"	127",007-000006980,"to be reduced",02/03/2015,15:12:02
007-000000186,16,625,"	128",007-000006898,"to be reduced",02/03/2015,15:12:02
007-000000186,16,627,"	129",007-000007106,"to be reduced",02/03/2015,15:12:02
007-000000594,26,639,"	432",007-000006321,"to be eliminated",02/03/2015,15:24:06
007-000001555,905,647,"	553",007-000006185,"to be eliminated",02/04/2015,11:44:30
007-000004860,1415,673,"	856",007-000005030,"to be reduced",02/04/2015,12:48:11
007-000006170,65,683,"	882",007-000006170,"to be reduced",02/04/2015,12:49:28
007-000006298,1421,685,"	756",007-000001780,"to be eliminated",02/04/2015,12:49:46
007-000006298,1421,687,"	757",007-000000414,"to be eliminated",02/04/2015,12:49:46
005-000002376,1099,793,,005-000002375,"to be reduced",02/02/2016,18:29:35
005-000002376,1099,795,,005-000002388,"to be reduced",02/02/2016,18:29:35
005-000002376,1099,797,,005-000002389,"to be reduced",02/02/2016,18:29:35
005-000002148,231,799,,005-000000124,"to be eliminated",02/02/2016,18:00:20
005-000002148,231,801,,005-000000150,"to be eliminated",02/02/2016,18:00:20
009-000006580,1369,803,"	6779",009-000006779,"to be reduced",09/18/2015,21:09:50
009-000327971,1367,805,"	6779",009-000006779,"to be reduced",02/06/2016,20:49:25
007-000000582,1395,807,"	932",007-000000262,"to be eliminated",02/03/2015,15:17:47
005-000002321,243,811,,005-000000113,"to be eliminated",02/03/2016,16:08:58
021-105731835,896,813,"	2625",021-489256767,"to be eliminated",10/30/2014,14:45:55
021-430297065,1076,815,"	2623",021-529219009,"to be eliminated",02/03/2016,19:07:02
021-430297065,1076,817,"	2624",021-175812085,"to be eliminated",02/03/2016,19:07:02
021-089571105,361,819,"	2608",021-681137436,"to be reduced",03/19/2014,15:41:38
021-089571105,361,821,"	2609",021-040828751,"to be reduced",03/19/2014,15:41:38
021-514765477,368,823,"	2610",021-864879837,"to be eliminated",03/19/2014,15:43:33
021-514765477,368,825,"	2611",021-864879837,"to be reduced",03/19/2014,15:43:33
021-514765477,368,827,"	2612",021-423294720,"to be eliminated",03/19/2014,15:43:33
021-435692236,939,829,"	2613",021-864879837,"to be eliminated",03/19/2014,15:44:09
021-435692236,939,831,"	2614",021-864879837,"to be eliminated",03/19/2014,15:44:09
021-762783225,1211,833,"	2616",021-199782999,"to be eliminated",03/19/2014,15:53:28
021-762783225,1211,835,"	2617",021-351011071,"to be eliminated",03/19/2014,15:53:28
021-762783225,1211,837,"	2618",021-448268496,"to be eliminated",03/19/2014,15:53:28
429-000008200,1473,839,,429-000001003,"to be reduced",02/08/2016,17:59:56
024-000006010,200,841,"	230386",024-000006345,"to be eliminated",02/08/2016,16:59:00
024-000009567,1245,843,"	228079",024-000009543,"to be eliminated",02/08/2016,17:04:40
024-000009567,1245,845,"	228995",024-000009549,"to be eliminated",02/08/2016,17:04:40
024-000009567,1245,847,"	228994",024-000009548,"to be eliminated",02/08/2016,17:04:40
024-000009567,1245,849,"	228993",024-000009544,"to be eliminated",02/08/2016,17:04:40
024-000009567,1245,851,"	228996",024-000009541,"to be eliminated",02/08/2016,17:04:40
024-000009567,1245,853,"	229002",024-000009545,"to be eliminated",02/08/2016,17:04:40
024-000004054,837,855,"	227997",024-000004053,"to be eliminated",02/08/2016,17:04:29
024-000007006,1483,857,"	225413",024-000007529,"to be eliminated",02/08/2016,17:04:36
024-000007006,1483,859,"	225414",024-000007531,"to be eliminated",02/08/2016,17:04:36
006-000804400,1485,865,,006-000801100,"to be eliminated",02/03/2016,18:43:49
006-000804500,1487,867,,006-000804600,"to be reduced",02/03/2016,19:02:02
006-000804400,1485,873,,006-000801100,"to be eliminated",02/03/2016,18:43:49
015-000014982,1077,875,"	22",015-000014982,"to be eliminated",09/10/2014,14:15:24
014-000000003,1511,877,"	129877",014-000000025,"to be eliminated",02/03/2016,17:47:28
014-000000003,1511,879,"	129878",014-000000355,"to be eliminated",02/03/2016,17:47:28
014-000000003,1511,881,"	129879",014-000000056,"to be reduced",02/03/2016,17:47:28
014-000000003,1511,883,"	129881",014-000000004,"to be reduced",02/03/2016,17:47:28
027-999991200,594,885,,020-000016227,"to be reduced",02/03/2016,19:10:10
011-000003457,938,887,,011-000003458,"to be eliminated",02/06/2016,04:35:59
012-000002085,123,891,,012-000003405,"to be eliminated",02/04/2016,15:11:07
026-000005020,39,893,,026-000005010,"to be eliminated",09/11/2014,21:17:24
021-488119819,1325,903,"	25544",021-293198144,"to be eliminated",02/03/2016,19:23:48
018-000000125,1559,905,,018-000001120,"to be eliminated",02/04/2016,19:04:49
018-000000125,1559,907,,018-000000086,"to be eliminated",02/04/2016,19:04:49
018-000000125,1559,909,,018-000000085,"to be eliminated",02/04/2016,19:04:49
018-000001031,818,911,,018-000000058,"to be eliminated",02/04/2016,18:06:18
018-000001031,818,913,,018-000002600,"to be eliminated",02/04/2016,18:06:18
007-000001371,1567,931,"	982",007-000000954,"to be eliminated",02/04/2015,11:44:08
007-000001371,1567,933,"	984",007-000003898,"to be eliminated",02/04/2015,11:44:08
007-000001371,1567,935,"	985",007-000003901,"to be eliminated",02/04/2015,11:44:08
007-000001371,1567,937,"	983",007-000001644,"to be eliminated",02/04/2015,11:44:08
006-000804000,1233,939,,006-000803300,"to be reduced",02/04/2016,15:00:21
024-000003015,319,940,"	45209",024-000003015,"to be eliminated",02/08/2016,17:00:13
024-000003015,319,941,"	45171",024-000003036,"to be eliminated",02/08/2016,17:00:13
024-000003015,319,942,"	45178",024-000003038,"to be eliminated",02/08/2016,17:00:13
024-000003015,319,943,"	45207",024-000003040,"to be eliminated",02/08/2016,17:00:13
024-000003015,319,944,"	45210",024-000003090,"to be eliminated",02/08/2016,17:00:13
024-000003015,319,945,"	45208",024-000003120,"to be eliminated",02/08/2016,17:00:13
024-000005217,1107,946,"	45745",024-000005216,"to be eliminated",02/08/2016,17:03:56
024-000009567,1245,947,"	44005",024-000009573,"to be eliminated",02/08/2016,17:04:40
024-000005246,1602,948,"	43665",024-000005077,"to be eliminated",02/08/2016,17:05:48
024-000005246,1602,949,"	43667",024-000005081,"to be eliminated",02/08/2016,17:05:48
024-000005246,1602,950,"	43666",024-000005146,"to be eliminated",02/08/2016,17:05:48
024-000005246,1602,951,"	45133",024-000005182,"to be eliminated",02/08/2016,17:05:48
015-000200132,1606,952,"	4",015-000200132,"to be eliminated",09/15/2015,14:43:28
015-000200132,1606,953,"	5",015-000200132,"to be eliminated",09/15/2015,14:43:28
015-000200132,1606,954,"	49",015-000200132,"to be eliminated",09/15/2015,14:43:28
015-000200132,1606,955,"	380",015-000200132,"to be eliminated",09/15/2015,14:43:28
027-999991200,594,956,,023-000001226,"to be eliminated",02/03/2016,19:10:10
027-999991200,594,957,,023-000001221,"to be eliminated",02/03/2016,19:10:10
010-000000319,674,958,,010-000000456,"to be reduced",02/04/2016,18:30:50
010-000000703,681,959,,010-000001642,"to be reduced",02/04/2016,18:59:31
027-000000019,598,960,,027-999990109,"to be eliminated",02/05/2016,14:35:57
005-000002321,243,961,"	5560",005-000000113,"to be eliminated",02/03/2016,16:08:58
005-000002376,1099,962,"	6256",005-000002375,"to be reduced",02/02/2016,18:29:35
005-000002376,1099,963,"	6257",005-000002377,"to be reduced",02/02/2016,18:29:35
005-000002376,1099,964,"	6255",005-000002388,"to be reduced",02/02/2016,18:29:35
005-000002376,1099,965,"	6258",005-000002389,"to be reduced",02/02/2016,18:29:35
005-000000063,249,966,"	6268",005-000000064,"to be eliminated",02/02/2016,18:43:58
005-000000063,249,967,"	6269",005-000000067,"to be eliminated",02/02/2016,18:43:58
015-000200165,1620,968,"	354",015-000200165,"to be eliminated",09/16/2015,17:49:43
015-000200165,1620,969,"	356",015-000200165,"to be eliminated",09/16/2015,17:49:43
015-000200165,1620,970,"	357",015-000200165,"to be eliminated",09/16/2015,17:49:43
015-000200136,1621,971,"	24",015-000200136,"to be eliminated",09/16/2015,18:57:48
015-000200136,1621,972,"	32",015-000200136,"to be eliminated",09/16/2015,18:57:48
015-000200136,1621,973,"	59",015-000200136,"to be eliminated",09/16/2015,18:57:48
015-000200136,1621,974,"	60",015-000200136,"to be eliminated",09/16/2015,18:57:48
015-000200136,1621,975,"	191",015-000200136,"to be eliminated",09/16/2015,18:57:48
015-000200136,1621,976,"	220",015-000200136,"to be eliminated",09/16/2015,18:57:48
015-000200136,1621,977,"	335",015-000200136,"to be eliminated",09/16/2015,18:57:48
015-000200139,1622,978,"	344",015-000200139,"to be eliminated",09/16/2015,19:17:58
015-000200139,1622,979,"	345",015-000200139,"to be eliminated",09/16/2015,19:17:58
015-000200139,1622,980,"	346",015-000200139,"to be eliminated",09/16/2015,19:17:58
015-000200133,1623,981,"	414",015-000200133,"to be eliminated",09/16/2015,19:42:29
005-000002148,231,982,"	6263",005-000000150,"to be eliminated",02/02/2016,18:00:20
015-000200137,1624,983,"	36",015-000200137,"to be eliminated",09/16/2015,20:10:57
015-000200137,1624,984,"	58",015-000200137,"to be eliminated",09/16/2015,20:10:57
015-000200137,1624,985,"	219",015-000200137,"to be eliminated",09/16/2015,20:10:57
015-000200137,1624,986,"	292",015-000200137,"to be eliminated",09/16/2015,20:10:57
015-000200137,1624,987,"	293",015-000200137,"to be eliminated",09/16/2015,20:10:57
005-000001231,219,988,"	5548",005-000001232,"to be eliminated",02/02/2016,17:14:21
005-000000185,1634,989,"	5538",005-000000074,"to be reduced",09/17/2015,14:33:19
005-000000185,1634,990,"	5541",005-000001405,"to be eliminated",09/17/2015,14:33:19
005-000000185,1634,991,"	5536",005-000001405,"to be eliminated",09/17/2015,14:33:19
005-000000185,1634,992,"	5540",005-000001786,"to be eliminated",09/17/2015,14:33:19
005-000000185,1634,993,"	5542",005-000001822,"to be eliminated",09/17/2015,14:33:19
005-000000185,1634,994,"	5539",005-000002188,"to be eliminated",09/17/2015,14:33:19
005-000000185,1634,995,"	5537",005-000002197,"to be eliminated",09/17/2015,14:33:19
005-000001425,227,996,"	6260",005-000000062,"to be eliminated",02/02/2016,18:34:44
021-430297065,1076,997,"	41881",021-529219009,"to be eliminated",02/03/2016,19:07:02
021-430297065,1076,998,"	42058",021-175812085,"to be eliminated",02/03/2016,19:07:02
018-000000155,1638,999,,018-000000030,"to be eliminated",02/04/2016,18:37:11
018-000000155,1638,1000,,018-000000028,"to be eliminated",02/04/2016,18:37:11
005-000003030,1644,1001,"	69502",005-000000098,"to be reduced",02/03/2016,14:43:42
018-000001151,1647,1002,,018-000000072,"to be eliminated",02/04/2016,18:37:01
012-000000106,1650,1003,,012-000003595,"to be eliminated",02/08/2016,20:20:52
012-000000107,1651,1004,,012-000003595,"to be eliminated",02/08/2016,20:21:00
027-000000168,1652,1005,,027-000000018,"to be eliminated",02/04/2016,20:31:55
005-000001870,225,1006,"	79788",005-000001638,"to be reduced",02/02/2016,16:51:54
006-000312900,1668,1007,,006-000310600,"to be reduced",02/05/2016,15:25:42
006-000312900,1668,1008,,006-000312600,"to be reduced",02/05/2016,15:25:42
006-000312900,1668,1009,,006-000312500,"to be reduced",02/05/2016,15:25:42
027-000000020,597,1010,,027-000000161,"to be eliminated",02/05/2016,14:26:55
012-000000087,1640,1011,,012-000000026,"to be eliminated",02/05/2016,22:14:30
012-000000122,1675,1012,,012-000000026,"to be eliminated",02/05/2016,22:21:58
