purchaseOrderData/purchaseOrderData,segment02,
purchaseOrderData/purchaseOrderData,segment01,
purchaseOrderData/purchaseOrderData,transactionId,
purchaseOrderData/purchaseOrderData,sourceId,
purchaseOrderData/purchaseOrderData,lineApprovedBy,
purchaseOrderData/purchaseOrderData,lineSystemEntryUser,
purchaseOrderData/purchaseOrderData,lastModifiedBy,
purchaseOrderData/purchaseOrderData,approvedBy,
purchaseOrderData/purchaseOrderData,systemEntryUser,
salesOrderData/salesOrderData,businessUnitCode,
salesOrderData/salesOrderData,supplierId,
salesOrderData/salesOrderData,sourceId,
salesOrderData/salesOrderData,segment05,
salesOrderData/salesOrderData,segment04,
salesOrderData/salesOrderData,segment03,
salesOrderData/salesOrderData,segment02,
salesOrderData/salesOrderData,segment01,
salesOrderData/salesOrderData,customerId,
salesOrderData/salesOrderData,lineApprovedBy,
salesOrderData/salesOrderData,lineSystemEntryUser,
salesOrderData/salesOrderData,lastModifiedBy,
salesOrderData/salesOrderData,approvedBy,
salesOrderData/salesOrderData,systemEntryUser,
goodsShippedData/goodsShippedData,businessUnitCode,
goodsShippedData/goodsShippedData,salesOrderId,
goodsShippedData/goodsShippedData,segment05,
goodsShippedData/goodsShippedData,segment04,
goodsShippedData/goodsShippedData,segment03,
goodsShippedData/goodsShippedData,segment02,
goodsShippedData/goodsShippedData,segment01,
goodsShippedData/goodsShippedData,lastModifiedBy,
goodsShippedData/goodsShippedData,approvedBy,
goodsShippedData/goodsShippedData,enteredBy,
salesInvoiceData/salesInvoiceData,businessUnitCode,
salesInvoiceData/salesInvoiceData,segment05,
salesInvoiceData/salesInvoiceData,segment04,
salesInvoiceData/salesInvoiceData,segment03,
salesInvoiceData/salesInvoiceData,segment02,
salesInvoiceData/salesInvoiceData,segment01,
salesInvoiceData/salesInvoiceData,transactionId,
salesInvoiceData/salesInvoiceData,sourceId,
salesInvoiceData/salesInvoiceData,lineSystemModifiedUser,
salesInvoiceData/salesInvoiceData,lineApprovedBy,
salesInvoiceData/salesInvoiceData,lineSystemEntryUser,
salesInvoiceData/salesInvoiceData,systemModifiedUser,
salesInvoiceData/salesInvoiceData,approvedBy,
salesInvoiceData/salesInvoiceData,systemEntryUser,
salesInvoiceData/salesInvoiceData,customerInfoCustomerId,
materialCost/materialCost,businessUnitCode,
materialCost/materialCost,locationId,
materialCost/materialCost,inventoryProductId,
materialCost/materialCost,segment05,
materialCost/materialCost,segment04,
materialCost/materialCost,segment03,
materialCost/materialCost,segment02,
materialCost/materialCost,segment01,
glDetail/glDetail,businessUnitCode,
glDetail/glDetail,taxCode,
