Unique Investment Identifier,Business Case Id,Agency Code,Agency Name,Investment Title,Planning Budgetary Resources PY1 and Prior,Planning Budgetary Resources PY,Planning Budgetary Resources CY,Planning Budgetary Resources BY,DME Budgetary Resources PY1 and Prior,DME Budgetary Resources PY,DME Budgetary Resources CY,DME Budgetary Resources BY,DME Government FTE Costs PY1 and Prior,DME Government FTE Costs PY,DME Government FTE Costs CY,DME Government FTE Costs BY,Omd Budgetary Resources PY1 and Prior,Omd Budgetary Resources PY,Omd Budgetary Resources CY,Omd Budgetary Resources BY,Omd Government FTE Costs PY1 and Prior,Omd Government FTE Costs PY,Omd Government FTE Costs CY,Omd Government FTE Costs BY,Government FTE Number PY1 and Prior,Government FTE Number PY,Government FTE Number CY,Government FTE Number BY,Prior Year Cost Change PY,Prior Year Cost Change CY,Prior Year Cost Percentage Change PY,Prior Year Cost Percentage Change CY
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","0.000000","0.000000","0.000000","0.000000","22.496000","0.000000","0.000000","0.000000","12.120000","0.000000","0.000000","0.000000","85.169336","7.519170","6.952700","5.664455","54.895662","8.756304","8.756304","7.464983","528.00","109.00","109.00","109.00","-0.793526","0.465004","-4.600000","3.100000"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","0.001000","0.000000","0.000000","0.000000","15.676000","0.000000","0.000000","0.000000","0.569000","0.000000","0.000000","0.000000","12.057709","2.863000","3.285000","3.246000","0.622000","0.300000","0.320000","0.336000","12.00","5.00","5.00","5.00","-5.663000","3.605000","-64.200000","0.000000"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","2.900000","0.000000","0.000000","0.000000","30.380000","0.000000","0.000000","0.000000","4.690000","0.000000","0.000000","0.000000","228.980000","19.347000","23.717000","16.792000","139.331000","11.923000","11.906000","13.555000","1078.00","162.00","162.00","159.00","-15.690000","-17.096000","-33.400000","-32.400000"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.675000","0.702000","0.604000","0.000000","0.136600","0.142100","0.147700","10.00","1.00","1.00","1.00","0.000000","0.000000","0.000000","0.000000"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","0.000000","0.000000","0.000000","0.000000","24.740000","0.946000","0.812000","4.272000","22.150714","1.427628","1.464000","1.464000","38.279000","8.105000","8.390000","4.024480","17.558300","3.450101","3.538000","3.538000","170.00","41.00","41.00","41.00","0.738241","1.815319","5.600000","14.700000"
"005-000001232","220","005","Department of Agriculture","Consolidated Financial Management Information Systems (CFMIS) #106","0.000000","0.000000","0.000000","0.000000","6.678000","0.000000","0.000000","0.000000","6.684000","0.000000","0.000000","0.000000","21.909000","2.156000","2.175000","1.905000","24.495637","3.658297","3.751500","3.751500","140.00","31.00","31.00","31.00","-1.459198","-0.468451","-20.100000","-7.300000"
"005-000001234","221","005","Department of Agriculture","Consolidated General Sales Manager (CGSM) #107","0.000000","0.000000","0.000000","0.000000","0.960000","0.000000","0.000000","0.000000","1.821000","0.000000","0.000000","0.000000","10.797000","1.591000","1.591000","1.861000","5.177050","0.505618","0.518500","0.518500","20.00","5.00","5.00","5.00","-0.465846","0.583622","-18.200000","38.200000"
"005-000000062","222","005","Department of Agriculture","Corporate Financial Management Systems (CFMS)","0.000000","0.000000","0.000000","0.000000","78.028000","0.000000","0.000000","0.000000","12.740000","0.000000","0.000000","0.000000","264.446000","26.255000","13.734000","0.000000","66.460000","6.678000","1.210000","0.000000","447.00","22.00","22.00","0.00","0.000000","-3.803000","0.000000","-20.300000"
"005-000001870","225","005","Department of Agriculture","Farm Program Modernization (MIDAS) #097","20.955255","11.827000","3.996590","0.000000","89.970004","95.954352","91.012299","52.510280","10.340577","4.639791","4.758000","2.688000","0.000000","0.000000","0.000000","42.015009","0.000000","0.000000","0.000000","2.553600","73.00","39.00","39.00","39.00","34.544780","-50.791884","44.400000","-33.700000"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","0.000000","0.000000","0.000000","0.000000","103.774000","19.006000","7.488000","3.000000","11.744000","4.297000","1.240000","0.000000","49.257000","24.603000","27.591000","36.834000","8.443000","4.461000","14.284000","18.885000","160.00","96.00","107.00","133.00","0.225000","-4.021000","0.400000","-7.400000"
"005-000001718","228","005","Department of Agriculture","FNCS IT Infrastructure","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","17.548838","16.710647","17.209693","0.000000","6.289362","6.478071","6.672381","402.00","52.00","52.00","52.00","2.792740","1.587901","13.300000","7.400000"
"005-000001496","229","005","Department of Agriculture","FPA-P2 - Fire Program Analysis System - Phase 2","0.000000","0.000000","0.000000","0.000000","25.274000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","8.030000","0.980000","0.980000","0.930950","0.000000","0.000000","0.767138","0.000000","0.00","0.00","7.00","0.00","-0.020000","0.000000","-2.000000","0.000000"
"005-000000083","230","005","Department of Agriculture","Public Health Data Communications Infrastructure System (PHDCIS)","0.450000","0.000000","0.000000","0.000000","5.000000","0.000000","0.500000","0.000000","0.000000","0.000000","0.000000","0.000000","183.173366","25.623366","49.099084","43.509688","29.678924","3.721924","3.718752","3.830312","260.00","48.00","48.00","48.00","29.345290","53.317836","0.000000","0.000000"
"005-000002148","231","005","Department of Agriculture","FSIS Public Health Information System (PHIS)","0.000000","0.000000","0.000000","0.000000","32.030000","6.235000","8.267000","2.300000","1.210000","0.000000","0.000000","0.000000","51.503226","1.441226","2.648500","6.430000","15.083000","0.000000","0.000000","0.000000","158.00","32.00","32.00","32.00","7.676226","10.915500","0.000000","0.000000"
"005-999991841","234","005","Department of Agriculture","Human Resources Line of Business:  Service Center","0.998000","0.000000","0.000000","0.000000","53.467000","0.941000","2.429400","2.202020","5.803000","1.671504","1.663597","1.735189","276.829000","53.294795","46.714597","48.231544","189.007000","74.100243","72.169148","75.654306","567.00","535.00","535.00","535.00","-10.859458","-15.283258","-7.700000","-11.100000"
"005-000002328","235","005","Department of Agriculture","IBS - Incident Business System","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","2.613300","1.361000","1.903200","0.000000","0.090600","0.139000","0.139000","2.00","1.00","1.00","1.00","0.000300","-0.640200","0.000000","-29.900000"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","13.560000","0.000000","0.000000","0.000000","27.820000","206.000000","0.000000","0.000000","13.560000","0.000000","0.000000","0.000000","119.542619","13.453619","13.605809","14.410705","26.504647","1.290647","1.858402","1.905184","186.00","14.00","11.00","12.00","203.794266","-1.900789","1202.300000","-10.900000"
