"Unique Investment Identifier","Business Case ID","Investment Type","Infrastructure Management Category","Affected Investment ID","Agency Affected Investment ID","Affected Investment UII","To Be Status","Updated Date","Updated Time"
018-000000092,1289,"01 - Major IT","01 - Not Applicable",391,,018-000002692,"to be eliminated",09/11/2013,09:41:33
018-000000092,1289,"01 - Major IT","01 - Not Applicable",393,,018-000000001,"to be eliminated",09/11/2013,09:41:33
018-000000092,1289,"01 - Major IT","01 - Not Applicable",395,,018-000002697,"to be eliminated",09/11/2013,09:41:33
018-000000092,1289,"01 - Major IT","01 - Not Applicable",397,,018-000002696,"to be eliminated",09/11/2013,09:41:33
018-000000092,1289,"01 - Major IT","01 - Not Applicable",399,,018-000002180,"to be eliminated",09/11/2013,09:41:33
018-000000092,1289,"01 - Major IT","01 - Not Applicable",401,,018-000002699,"to be eliminated",09/11/2013,09:41:34
018-000000092,1289,"01 - Major IT","01 - Not Applicable",403,,018-000002170,"to be eliminated",09/11/2013,09:41:34
018-000000094,1299,"01 - Major IT","01 - Not Applicable",417,,018-000002200,"to be eliminated",09/11/2013,10:30:37
018-000000094,1299,"01 - Major IT","01 - Not Applicable",419,,018-000002280,"to be eliminated",09/11/2013,10:30:37
018-000000094,1299,"01 - Major IT","01 - Not Applicable",421,,018-000002710,"to be eliminated",09/11/2013,10:30:37
018-000000091,1305,"01 - Major IT","01 - Not Applicable",437,,018-000002570,"to be eliminated",09/11/2013,12:52:59
018-000000091,1305,"01 - Major IT","01 - Not Applicable",439,,018-000002640,"to be eliminated",09/11/2013,12:52:59
021-000001000,1307,"01 - Major IT","01 - Not Applicable",445,"	22941",021-000001001,"to be eliminated",09/14/2017,14:13:01
018-999991341,811,"01 - Major IT","01 - Not Applicable",447,,018-000003125,"to be eliminated",09/11/2013,15:12:00
010-000000316,673,"01 - Major IT","01 - Not Applicable",453,,010-000000477,"to be eliminated",09/12/2013,00:13:35
010-000000316,673,"01 - Major IT","01 - Not Applicable",455,,010-000000479,"to be eliminated",09/12/2013,00:13:35
010-000000316,673,"01 - Major IT","01 - Not Applicable",457,,010-000000722,"to be eliminated",09/12/2013,00:13:35
010-000000316,673,"01 - Major IT","01 - Not Applicable",459,,010-000000766,"to be eliminated",09/12/2013,00:13:36
010-000000316,673,"01 - Major IT","01 - Not Applicable",461,,010-000001046,"to be eliminated",09/12/2013,00:13:36
010-000000316,673,"01 - Major IT","01 - Not Applicable",463,,010-000000009,"to be eliminated",09/12/2013,00:13:36
010-000000316,673,"01 - Major IT","01 - Not Applicable",465,,010-000000416,"to be eliminated",09/12/2013,00:13:37
010-000000316,673,"01 - Major IT","01 - Not Applicable",467,,010-000000552,"to be eliminated",09/12/2013,00:13:37
010-000000316,673,"01 - Major IT","01 - Not Applicable",469,,010-000000286,"to be eliminated",09/12/2013,00:13:37
010-000000316,673,"01 - Major IT","01 - Not Applicable",471,,010-000000064,"to be eliminated",09/12/2013,00:13:38
010-000000316,673,"01 - Major IT","01 - Not Applicable",473,,010-000001477,"to be eliminated",09/12/2013,00:13:39
010-000000316,673,"01 - Major IT","01 - Not Applicable",475,,010-000001478,"to be eliminated",09/12/2013,00:13:39
010-000000316,673,"01 - Major IT","01 - Not Applicable",477,,010-000001479,"to be eliminated",09/12/2013,00:13:40
010-000000316,673,"01 - Major IT","01 - Not Applicable",479,,010-000000078,"to be eliminated",09/12/2013,00:13:40
010-000000316,673,"01 - Major IT","01 - Not Applicable",481,,010-000001475,"to be eliminated",09/12/2013,00:13:40
010-000000316,673,"01 - Major IT","01 - Not Applicable",483,,010-000000079,"to be eliminated",09/12/2013,00:13:40
010-000000316,673,"01 - Major IT","01 - Not Applicable",485,,010-000000411,"to be eliminated",09/12/2013,00:13:40
010-000000316,673,"01 - Major IT","01 - Not Applicable",487,,010-000000503,"to be eliminated",09/12/2013,00:13:41
010-000000316,673,"01 - Major IT","01 - Not Applicable",489,,010-000000997,"to be eliminated",09/12/2013,00:13:41
010-000000316,673,"01 - Major IT","01 - Not Applicable",491,,010-000000504,"to be eliminated",09/12/2013,00:13:41
010-000000316,673,"01 - Major IT","01 - Not Applicable",493,,010-000001474,"to be eliminated",09/12/2013,00:13:41
010-000000316,673,"01 - Major IT","01 - Not Applicable",495,,010-000000281,"to be eliminated",09/12/2013,00:13:41
010-000000319,674,"01 - Major IT","01 - Not Applicable",497,,010-000000455,"to be reduced",09/12/2013,10:00:20
012-000003615,1047,"01 - Major IT","01 - Not Applicable",505,,012-000003160,"to be eliminated",09/12/2013,17:24:14
028-000000045,1349,"01 - Major IT","01 - Not Applicable",513,,028-000001219,"to be eliminated",09/13/2013,13:00:22
028-000000045,1349,"01 - Major IT","01 - Not Applicable",515,,028-000001225,"to be eliminated",09/13/2013,13:00:22
028-000000045,1349,"01 - Major IT","01 - Not Applicable",517,,028-000001226,"to be eliminated",09/13/2013,13:00:22
006-000804300,1371,"01 - Major IT","01 - Not Applicable",535,,006-000802600,"to be reduced",09/13/2013,16:01:37
020-000015010,402,"01 - Major IT","01 - Not Applicable",563,,020-000015040,"to be eliminated",09/25/2013,16:42:55
007-000000178,15,"01 - Major IT","01 - Not Applicable",567,"	233",007-000006484,"to be eliminated",12/09/2013,12:01:51
007-000000178,15,"01 - Major IT","01 - Not Applicable",569,"	235",007-000005037,"to be reduced",02/03/2015,15:11:49
007-000000186,16,"01 - Major IT","01 - Not Applicable",571,"	109",007-000001282,"to be reduced",12/09/2013,12:01:56
007-000000186,16,"01 - Major IT","01 - Not Applicable",573,"	100",007-000000150,"to be reduced",12/09/2013,12:01:56
007-000000186,16,"01 - Major IT","01 - Not Applicable",575,"	101",007-000001279,"to be reduced",12/09/2013,12:01:56
007-000000186,16,"01 - Major IT","01 - Not Applicable",577,"	110",007-000001335,"to be reduced",12/09/2013,12:01:56
007-000000186,16,"01 - Major IT","01 - Not Applicable",579,"	111",007-000001509,"to be reduced",12/09/2013,12:01:56
007-000000186,16,"01 - Major IT","01 - Not Applicable",581,"	112",007-000001514,"to be reduced",12/09/2013,12:01:56
007-000000186,16,"01 - Major IT","01 - Not Applicable",583,"	113",007-000001265,"to be reduced",12/09/2013,12:01:56
007-000000186,16,"01 - Major IT","01 - Not Applicable",585,"	114",007-000001541,"to be reduced",12/09/2013,12:01:56
007-000000186,16,"01 - Major IT","01 - Not Applicable",587,"	115",007-000001726,"to be reduced",12/09/2013,12:01:56
007-000000186,16,"01 - Major IT","01 - Not Applicable",589,"	116",007-000001727,"to be reduced",12/09/2013,12:01:56
007-000000186,16,"01 - Major IT","01 - Not Applicable",591,"	117",007-000001993,"to be reduced",12/09/2013,12:01:56
007-000000186,16,"01 - Major IT","01 - Not Applicable",593,"	118",007-000001995,"to be reduced",12/09/2013,12:01:56
007-000000186,16,"01 - Major IT","01 - Not Applicable",595,"	119",007-000002056,"to be reduced",12/09/2013,12:01:56
007-000000186,16,"01 - Major IT","01 - Not Applicable",597,"	120",007-000003470,"to be reduced",12/09/2013,12:01:56
007-000000186,16,"01 - Major IT","01 - Not Applicable",599,"	123",007-000006436,"to be reduced",12/09/2013,12:01:56
007-000000186,16,"01 - Major IT","01 - Not Applicable",601,"	99",007-000000158,"to be reduced",12/09/2013,12:01:56
007-000000186,16,"01 - Major IT","01 - Not Applicable",603,"	124",007-000006551,"to be reduced",12/09/2013,12:01:56
007-000000186,16,"01 - Major IT","01 - Not Applicable",605,"	130",007-000007120,"to be reduced",12/09/2013,12:01:56
007-000000186,16,"01 - Major IT","01 - Not Applicable",607,"	131",007-000007132,"to be reduced",12/09/2013,12:01:56
007-000000186,16,"01 - Major IT","01 - Not Applicable",609,"	132",007-000007145,"to be reduced",12/09/2013,12:01:56
007-000000186,16,"01 - Major IT","01 - Not Applicable",611,"	133",007-000007150,"to be reduced",12/09/2013,12:01:56
007-000000186,16,"01 - Major IT","01 - Not Applicable",613,"	134",007-000007152,"to be reduced",12/09/2013,12:01:56
007-000000186,16,"01 - Major IT","01 - Not Applicable",615,"	121",007-000003475,"to be reduced",12/09/2013,12:01:56
007-000000186,16,"01 - Major IT","01 - Not Applicable",617,"	122",007-000003421,"to be reduced",12/09/2013,12:01:56
007-000000186,16,"01 - Major IT","01 - Not Applicable",619,"	125",007-000006804,"to be reduced",12/09/2013,12:01:57
007-000000186,16,"01 - Major IT","01 - Not Applicable",621,"	126",007-000006801,"to be reduced",12/09/2013,12:01:57
007-000000186,16,"01 - Major IT","01 - Not Applicable",623,"	127",007-000006980,"to be reduced",12/09/2013,12:01:57
007-000000186,16,"01 - Major IT","01 - Not Applicable",625,"	128",007-000006898,"to be reduced",12/09/2013,12:01:57
007-000000186,16,"01 - Major IT","01 - Not Applicable",627,"	129",007-000007106,"to be reduced",12/09/2013,12:01:57
007-000000314,19,"01 - Major IT","01 - Not Applicable",629,"	364",007-000001781,"to be reduced",12/09/2013,12:02:11
007-000000314,19,"01 - Major IT","01 - Not Applicable",631,"	366",007-000001782,"to be reduced",12/09/2013,12:02:11
007-000000314,19,"01 - Major IT","01 - Not Applicable",633,"	416",007-000004565,"to be eliminated",12/09/2013,12:02:11
007-000000314,19,"01 - Major IT","01 - Not Applicable",635,"	417",007-000004546,"to be eliminated",12/09/2013,12:02:11
007-000000314,19,"01 - Major IT","01 - Not Applicable",637,"	369",007-000001792,"to be reduced",12/09/2013,12:02:11
007-000003947,915,"01 - Major IT","01 - Not Applicable",649,"	384",007-000003241,"to be eliminated",12/09/2013,13:27:49
007-000003947,915,"01 - Major IT","01 - Not Applicable",651,"	385",007-000002729,"to be reduced",10/01/2014,12:36:30
007-000003947,915,"01 - Major IT","01 - Not Applicable",653,"	386",007-000001800,"to be reduced",10/01/2014,12:36:30
007-000003947,915,"01 - Major IT","01 - Not Applicable",655,"	389",007-000003273,"to be eliminated",12/09/2013,13:27:49
007-000003947,915,"01 - Major IT","01 - Not Applicable",657,"	391",007-000002510,"to be eliminated",12/09/2013,13:27:49
007-000003947,915,"01 - Major IT","01 - Not Applicable",659,"	392",007-000002871,"to be reduced",10/01/2014,12:36:30
007-000003947,915,"01 - Major IT","01 - Not Applicable",661,"	402",007-000000134,"to be reduced",12/09/2013,13:27:49
007-000003947,915,"01 - Major IT","01 - Not Applicable",663,"	388",007-000008021,"to be eliminated",12/09/2013,13:27:49
007-000005070,59,"01 - Major IT","01 - Not Applicable",675,"	558",007-000004509,"to be eliminated",12/09/2013,13:51:50
007-000005070,59,"01 - Major IT","01 - Not Applicable",677,"	563",007-000004510,"to be eliminated",12/09/2013,13:51:50
007-000005070,59,"01 - Major IT","01 - Not Applicable",679,"	565",007-000004490,"to be eliminated",12/09/2013,13:51:50
007-000005070,59,"01 - Major IT","01 - Not Applicable",681,"	566",007-000004507,"to be eliminated",12/09/2013,13:51:50
007-000007173,1429,"01 - Major IT","01 - Not Applicable",709,"	675",007-000002284,"to be eliminated",12/09/2013,14:03:01
007-000007173,1429,"01 - Major IT","01 - Not Applicable",711,"	676",007-000001072,"to be eliminated",12/09/2013,14:03:01
007-000007173,1429,"01 - Major IT","01 - Not Applicable",713,"	677",007-000002304,"to be eliminated",12/09/2013,14:03:01
